id,teplota,jmeno,datum
1214369,19.16470535437477,Novak,2021-11-01 00:00:00.000000000
3167956,15.740828263804133,Novak,2021-11-01 00:14:32.727272727
2700962,18.41482701693119,Novak,2021-11-01 00:29:05.454545454
6116601,21.095718458075144,Novak,2021-11-01 00:43:38.181818181
9161786,21.794813063527577,Novak,2021-11-01 00:58:10.909090909
3335875,22.09493522021903,Novak,2021-11-01 01:12:43.636363636
9860935,14.433506773324785,Novak,2021-11-01 01:27:16.363636363
1425744,23.02946604171633,Novak,2021-11-01 01:41:49.090909090
4594970,18.57864927190565,Novak,2021-11-01 01:56:21.818181818
7095961,17.778015419968217,Novak,2021-11-01 02:10:54.545454545
5519827,20.849370867393446,Novak,2021-11-01 02:25:27.272727272
6112911,20.292249517585983,Novak,2021-11-01 02:40:00.000000000
2487167,25.554277579021026,Novak,2021-11-01 02:54:32.727272727
4879039,19.014750354888232,Novak,2021-11-01 03:09:05.454545454
1290272,22.222208261839466,Novak,2021-11-01 03:23:38.181818181
5042534,17.42346925408852,Novak,2021-11-01 03:38:10.909090909
8372725,20.85477176046027,Novak,2021-11-01 03:52:43.636363636
1782070,15.916357930853746,Novak,2021-11-01 04:07:16.363636363
3341609,16.550409059632244,Novak,2021-11-01 04:21:49.090909090
8869639,20.381015315775045,Novak,2021-11-01 04:36:21.818181818
9929437,19.462913324134895,Novak,2021-11-01 04:50:54.545454545
1527328,13.659061468196114,Novak,2021-11-01 05:05:27.272727272
8592471,18.694639040238265,Novak,2021-11-01 05:20:00.000000000
6041050,18.802051675430203,Novak,2021-11-01 05:34:32.727272727
3406309,21.27938069618393,Novak,2021-11-01 05:49:05.454545454
1843152,21.563496450903685,Novak,2021-11-01 06:03:38.181818181
1609815,22.353675011731987,Novak,2021-11-01 06:18:10.909090909
5852886,18.651457341898062,Novak,2021-11-01 06:32:43.636363636
5086619,23.561526839056988,Novak,2021-11-01 06:47:16.363636363
4982693,21.173899485012388,Novak,2021-11-01 07:01:49.090909090
4377008,17.76312320619258,Novak,2021-11-01 07:16:21.818181818
2188733,18.66962444535744,Novak,2021-11-01 07:30:54.545454545
3942712,22.68286107841609,Novak,2021-11-01 07:45:27.272727272
6350861,20.354550868171554,Novak,2021-11-01 08:00:00.000000000
2702667,18.393959517941354,Novak,2021-11-01 08:14:32.727272727
4991162,19.905508297741477,Novak,2021-11-01 08:29:05.454545454
3804886,24.021171145746496,Novak,2021-11-01 08:43:38.181818181
1857736,20.981492907723897,Novak,2021-11-01 08:58:10.909090909
8039105,20.01894104150869,Novak,2021-11-01 09:12:43.636363636
