id,teplota,jmeno,datum
8342155,26.502992702852705,Novak,2021-11-01 01:56:21.818181818
8619976,15.7596014952913,Novak,2021-11-01 01:12:43.636363636
2079602,14.6215145423928,Novak,2021-11-01 03:38:10.909090909
1207780,15.865226996293888,Bures,2021-11-01 12:36:21.818181818
5144420,11.609421156503348,Bures,2021-11-01 18:54:32.727272727
2361569,15.695330401058442,Bures,2021-11-01 22:47:16.363636363
9170575,15.19127642838667,Novak,2021-11-01 08:00:00.000000000
3972628,14.968607774087689,Novak,2021-11-01 08:58:10.909090909
7580818,15.26063708298376,Bures,2021-11-01 16:00:00.000000000
7663672,14.592101109400884,Bures,2021-11-01 18:10:54.545454545
3031452,15.860870440440952,Bures,2021-11-01 21:34:32.727272727
6236879,14.898571885789211,Bures,2021-11-01 22:47:16.363636363
8342155,26.502992702852705,Novak,2021-11-01 01:56:21.818181818
8342155,26.502992702852705,Novak,2021-11-01 01:56:21.818181818
8619976,15.7596014952913,Novak,2021-11-01 01:12:43.636363636
2079602,14.6215145423928,Novak,2021-11-01 03:38:10.909090909
1207780,15.865226996293888,Bures,2021-11-01 12:36:21.818181818
5144420,11.609421156503348,Bures,2021-11-01 18:54:32.727272727
2361569,15.695330401058442,Bures,2021-11-01 22:47:16.363636363
9170575,15.19127642838667,Novak,2021-11-01 08:00:00.000000000
3972628,14.968607774087689,Novak,2021-11-01 08:58:10.909090909
7580818,15.26063708298376,Bures,2021-11-01 16:00:00.000000000
7663672,14.592101109400884,Bures,2021-11-01 18:10:54.545454545
3031452,15.860870440440952,Bures,2021-11-01 21:34:32.727272727
6236879,14.898571885789211,Bures,2021-11-01 22:47:16.363636363
8619976,15.7596014952913,Novak,2021-11-01 01:12:43.636363636
2079602,14.6215145423928,Novak,2021-11-01 03:38:10.909090909
1207780,15.865226996293888,Bures,2021-11-01 12:36:21.818181818
5144420,11.609421156503348,Bures,2021-11-01 18:54:32.727272727
2361569,15.695330401058442,Bures,2021-11-01 22:47:16.363636363
9170575,15.19127642838667,Novak,2021-11-01 08:00:00.000000000
3972628,14.968607774087689,Novak,2021-11-01 08:58:10.909090909
7580818,15.26063708298376,Bures,2021-11-01 16:00:00.000000000
7663672,14.592101109400884,Bures,2021-11-01 18:10:54.545454545
3031452,15.860870440440952,Bures,2021-11-01 21:34:32.727272727
6236879,14.898571885789211,Bures,2021-11-01 22:47:16.363636363
